study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	fastq_aspera
PRJEB29746	SAMEA104549447	ERS2160731	ERX2909061	ERR2905901	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905901/ERR2905901_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905901/ERR2905901_2.fastq.gz
PRJEB29746	SAMEA104549448	ERS2160732	ERX2909062	ERR2905902	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905902/ERR2905902_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905902/ERR2905902_2.fastq.gz
PRJEB29746	SAMEA104549449	ERS2160733	ERX2909063	ERR2905903	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905903/ERR2905903_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905903/ERR2905903_2.fastq.gz
PRJEB29746	SAMEA104549450	ERS2160734	ERX2909064	ERR2905904	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905904/ERR2905904_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905904/ERR2905904_2.fastq.gz
PRJEB29746	SAMEA104549452	ERS2160736	ERX2909066	ERR2905906	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905906/ERR2905906_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905906/ERR2905906_2.fastq.gz
PRJEB29746	SAMEA104549453	ERS2160737	ERX2909067	ERR2905907	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905907/ERR2905907_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905907/ERR2905907_2.fastq.gz
PRJEB29746	SAMEA104549454	ERS2160738	ERX2909068	ERR2905908	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905908/ERR2905908_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905908/ERR2905908_2.fastq.gz
PRJEB29746	SAMEA104549455	ERS2160739	ERX2909069	ERR2905909	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905909/ERR2905909_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905909/ERR2905909_2.fastq.gz
PRJEB29746	SAMEA104549456	ERS2160740	ERX2909070	ERR2905910	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905910/ERR2905910_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905910/ERR2905910_2.fastq.gz
PRJEB29746	SAMEA104549457	ERS2160741	ERX2909071	ERR2905911	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905911/ERR2905911_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905911/ERR2905911_2.fastq.gz
